user_id,file_id,rating,combo_5_B__perp_token_curv_lex_disc__pred,avg_logprob,ppl,proportion_top10,proportion_top100,proportion_top1000,mean_rank,rank_entropy,curvature_z,ll_orig,mean_ll_pert,std_ll_pert,ttr,rttr,cttr,herdan_c,maas_a2,yules_k,mtld,hapax_ratio,dis_legomena_ratio,avg_word_len,total_connectives,connective_entropy,connective_density_per_100w,enumeration_count
17,2,2.0,2.74,-3.114,22.5105,0.0,0.3613,0.7068,1040.6387,4.55,3.4059,-3.114,-3.5681,0.1333,0.685,7.72,5.4589,0.9219,0.0161,124.0002,65.3909,0.7126,0.2184,5.1181,2.0,-0.0,1.5748,0.0
18,2,4.0,3.76,-2.3371,10.3508,0.0243,0.3465,0.7104,1889.1819,2.4967,2.9294,-2.8891,-3.3132,0.1448,0.2297,7.2046,5.0944,0.7865,0.031,218.3307,50.0522,0.4159,0.2478,4.0183,10.0,0.469,1.0163,0.0
19,2,5.0,4.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3151,9.8992,6.9998,0.8325,0.0243,83.1273,86.9878,0.4662,0.2476,4.8207,10.0,1.3568,1.0132,0.0
20,2,5.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4725,10.8466,7.6697,0.8804,0.0191,71.7966,118.2033,0.6546,0.1285,5.2676,11.0,-0.0,2.0873,0.0
21,2,4.0,3.86,-5.284,197.1606,0.1,0.4,1.0,205.0,7.8995,0.8609,-5.284,-6.7359,1.6866,0.9,2.846,2.0125,0.9542,0.0199,200.0,28.0,0.8889,0.1111,4.4,2.0,1.0,20.0,1.0
22,2,4.0,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5664,11.3142,8.0003,0.9051,0.0158,57.7886,162.4553,0.6327,0.2168,5.4561,2.0,1.0,0.5013,0.0
23,2,4.0,3.9,-2.9219,18.5764,0.0143,0.2554,0.6874,1119.0191,3.9595,4.259,-2.9219,-3.4513,0.1243,0.5814,9.3386,6.6034,0.9023,0.0176,130.4008,91.0846,0.7867,0.0933,5.2209,3.0,0.9183,1.1628,0.0
24,2,4.0,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5705,9.8478,6.9635,0.9015,0.0173,78.3748,86.3373,0.6471,0.1765,4.9832,3.0,-0.0,1.0067,0.0
25,2,4.0,4.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.387,9.4964,6.7149,0.8517,0.0232,162.7465,60.4332,0.5794,0.2017,4.5,6.0,0.65,0.9967,0.0
26,2,4.0,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5184,10.1059,7.1459,0.8894,0.0186,113.5734,53.3796,0.6954,0.1523,4.6421,7.0,1.1488,1.8421,0.0
27,2,4.0,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4297,9.6564,6.8281,0.8643,0.0218,117.3218,47.5596,0.6359,0.1567,4.5307,6.0,0.65,1.1881,0.0
28,2,3.0,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4513,9.9193,7.014,0.8713,0.0208,94.7323,96.7471,0.5963,0.1789,4.9172,4.0,1.0,0.8282,0.0
29,2,4.0,3.94,-3.6093,36.9392,0.0119,0.25,0.7232,1168.9643,4.878,1.6792,-3.6093,-3.9081,0.178,0.7642,11.1262,7.8674,0.9498,0.0094,38.7148,251.6864,0.8148,0.1235,5.2264,7.0,1.1488,3.3019,0.0
30,2,4.0,3.88,-3.9046,49.628,0.0146,0.2485,0.7105,1210.4211,5.1558,6.6129,-3.9046,-4.2521,0.0526,0.7589,11.3586,8.0317,0.949,0.0094,33.4821,260.1719,0.8059,0.1176,5.3661,5.0,0.7219,2.2321,0.0
31,2,4.0,4.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5373,11.7971,8.3418,0.8995,0.0163,52.599,137.0363,0.6448,0.1969,5.1515,7.0,1.3788,1.4523,0.0
32,2,4.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3316,7.9792,5.6422,0.8265,0.0273,123.016,88.2087,0.5521,0.1302,5.0535,18.0,0.6144,3.1088,0.0
33,2,5.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4338,14.5493,10.2879,0.8811,0.0169,49.3195,146.7388,0.6107,0.1865,5.3884,29.0,1.5923,2.5778,0.0
34,2,5.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5179,11.2873,7.9813,0.8932,0.0173,59.9224,154.9298,0.6423,0.187,5.4842,16.0,1.7806,3.3684,0.0
35,2,2.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4585,9.0091,6.3704,0.8691,0.022,84.9687,107.8122,0.5367,0.226,5.0855,3.0,0.9183,0.7772,0.0
36,2,4.0,4.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5446,12.8886,9.1136,0.904,0.0152,50.5102,171.3646,0.6295,0.2164,5.3732,7.0,1.1488,1.25,0.0
37,2,5.0,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4545,10.2247,7.23,0.8734,0.0203,70.4588,86.7114,0.6087,0.1522,4.751,9.0,0.5033,1.7787,0.0
38,2,4.0,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4111,9.5534,6.7552,0.8587,0.0225,84.5679,101.4435,0.5721,0.1892,5.1759,15.0,1.0389,2.7778,0.0
